=== En-tête :
Clé,Valeur
: CORIS BANK INTERNATIONAL BJ,: CORIS BANK INTERNATIONAL BJ : CORIS BANK INTERNATIONAL BJ CORIS BANK INTERNATIONAL BJ : CORIS BANK INTERNATIONAL BJ
: Age ………. 01001-PRINCIPALE,: Agece ....... 01001-PRINCIPALE : Agence ……………… 01001-PRINCIPALE 1 Age ………… 01001-PRINCIPALE : Agence ……………. 01001-PRINCIPALE a 12:49 : 12:49 : 12:49 a 12:49 12:49
: Date ………. 9 Janvier 2024,: Date ....... 9 Janvier 2024 : Date ……………… 9 Janvier 2024 Date ………… 9 Janvier 2024 : Date ……………. 9 Janvier 2024 a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49 12:49
: Age ………. 9 Janvier 2024,: Age Dept. Chap. : Age Dev Chap. a 12:49 a 12:49
: Compte No ………. 01001 XOF 251111,: Compte No ……………… 01001 XOF 25111 : Compte No ………… 01001 XOF 25111 Compte 01150024101-77 : 01150024101-77 : 0115002411-77 a 0115002411-77
: No Client ………. 011500,: No Client ……………… 011500 : No Client ……………. 011500 Compte 0115002411-77 : 0115002411-77 : 0115002411-77 a 0115002411-77
: Date comptalDate value!Utilisateur! No piece,: Compte d'alta date value!!Utilisateur! No piece a : No eveOpe! 0115002411-77 : 1 No eve ope! Libelle Libelle ! : Debit Debit ! : Credit Credit
: Date comptalDate value!Utilisateur! No piece,: I Date completa d'alte value!!Utilisateur! No piece : I dernaça comptaDate valueUrl:utilisateu! No piece a : No eveOpe! No : 1 NOvel eope! : 1 No eve ope! Libelle Libelle Libelle ! : : Debit Debit Debit : Credit ! : Credit Credit
: Date ………. 1,: I Date 106/02/2023 ICSCP : I Date ……………. 1 : 1 a : No eveOpe! No : 10786291 1 : 116510 ! : 11.1001 Debit ! Credit
: Date ………. 1,: I Date 106/02/2023 ICSCP : 128/11/2023 128/11/2023 128/11/2023 : 10952081 a : No eveOpe! No : 10786291 1 : 116510 ! : 11.1001 Debit ! Credit
: 1,: I Date 106/02/2023 ICSCP : 130/12/2023 130/12/2023 130/12/2023 : 13526601 a : No eveOpe! 0165688112 : 10786291 1 : 116510 ! : 11.1001 1 ! 1.434.4531
: 1,: I Date 106/02/2023 ICSCP : 130/12/1023 101/12/1023 101/12/1023 : 13526601 a : No eveOpe! 0165688112 : 10786291 1 : 116510 ! : 11.844.5951 1 ! 1.345.4531
: 1,: I Date 106/02/2023 ICSCP : 101/12/2023 101/12/2023 101/12/2023 : 10848961 a : No eveOpe! 017021501 : 10786291 1 : 116510 ! : 11.844.5951 1 ! 1.000.000
: 1,: I Date 106/02/2023 ICSCP : 107/12/2023 106/12/2023 106/12/2023 : 10848961 a : No eveOpe! 0175428112 : 10786291 1 : 116510 ! : 11.844.5951 1 ! 1.000.000
: 1,: I Date 106/02/2023 ICSCP : 108/12/2023 108/12/2023 108/12/2023 : 1085558 a : No eveOpe! 016648112 : 10786291 1 : 116510 ! : 11.659.448 1 ! 1.000.000
: 1,: I Date 106/02/2023 ICSCP : 129/12/2023 129/12/2023 129/12/2023 : 10962611 a : No eveOpe! 017241112 : 10786291 1 : 116510 ! : 11.659.448 1 ! 1.000.000
: 1,: I Date 106/02/2023 ICSCP : 129/12/2023 129/12/2023 129/12/2023 : 10962611 a : No eveOpe! 017241112 : 10786291 1 : 116510 ! : 11.659.448 1 ! 1.000.000
: 1,: I Date 106/02/2023 ICSCP : 129/12/2023 129/12/2023 129/12/2023 : 1363779 a : No eveOpe! 017241112 : 10786291 1 : 116510 ! : 11.659.448 1 ! 1.000.000
